event,team_num,norm_epa
2024cafr,4322,1457
2024cafr,1351,1552
2024cafr,6998,1493
2024cafr,766,1473
2024cafr,9634,1458
2024cafr,6305,1507
2024cafr,3491,1461
2024cafr,5171,1471
2024cafr,9400,1476
2024cafr,1280,1478
2024cafr,2367,1458
2024cafr,6059,1439
2024cafr,9706,1489
2024cafr,6711,1392
2024cafr,7589,1423
2024cafr,6804,1366
2024cada,604,1731
2024cada,1678,1874
2024cada,254,1860
2024cada,5419,1664
2024cada,8048,1568
2024cada,6619,1601
2024cada,2073,1560
2024cada,2551,1541
2024cada,6947,1580
2024cada,5458,1591
2024cada,8404,1518
2024cada,3189,1483
2024cada,3598,1496
2024cada,1662,1483
2024cada,7686,1387
2024cada,3257,1471
2024cada,5274,1518
2024cada,2135,1515
2024cada,5515,1449
2024cada,7667,1519
2024cada,3880,1500
2024cada,7130,1481
2024cada,2141,1428
2024cada,3482,1450
2024cada,8015,1462
2024cada,2204,1450
2024cada,751,1424
2024cada,4159,1436
2024cada,701,1421
2024cada,9125,1406
2024cada,199,1393
2024cada,4135,1464
2024cada,7528,1474
2024cada,4643,1402
2024cada,6665,1376
2024cada,1072,1458
2024cada,6981,1320
2024cada,5728,1366
2024cala,368,1714
2024cala,1197,1570
2024cala,7415,1545
2024cala,9408,1663
2024cala,687,1618
2024cala,4201,1581
2024cala,1452,1539
2024cala,1148,1561
2024cala,5199,1583
2024cala,7042,1590
2024cala,7137,1486
2024cala,3759,1462
2024cala,1160,1525
2024cala,2465,1539
2024cala,2584,1551
2024cala,1515,1542
2024cala,597,1553
2024cala,4123,1486
2024cala,4079,1519
2024cala,2443,1540
2024cala,702,1514
2024cala,1661,1450
2024cala,2710,1540
2024cala,1159,1426
2024cala,4501,1395
2024cala,8898,1429
2024cala,2637,1424
2024cala,1836,1467
2024cala,5089,1481
2024cala,4999,1446
2024cala,3473,1411
2024cala,3859,1436
2024cala,968,1444
2024cala,6658,1450
2024cala,980,1445
2024cala,9564,1397
2024cala,7230,1374
2024cala,599,1460
2024cala,3408,1455
2024cala,5669,1427
2024cala,6000,1423
2024cala,5857,1382
2024cala,1759,1357
2024cala,6904,1364
2024caoc,5199,1667
2024caoc,7157,1627
2024caoc,3309,1596
2024caoc,6995,1628
2024caoc,4141,1584
2024caoc,2485,1649
2024caoc,3476,1638
2024caoc,5835,1517
2024caoc,7415,1570
2024caoc,9037,1542
2024caoc,6560,1588
2024caoc,9271,1556
2024caoc,1967,1539
2024caoc,4984,1472
2024caoc,7042,1595
2024caoc,8033,1676
2024caoc,4415,1616
2024caoc,4079,1578
2024caoc,4,1556
2024caoc,4276,1526
2024caoc,5924,1555
2024caoc,6220,1574
2024caoc,589,1569
2024caoc,9505,1463
2024caoc,4160,1522
2024caoc,5285,1525
2024caoc,8521,1469
2024caoc,7607,1421
2024caoc,4470,1472
2024caoc,5805,1462
2024caoc,8805,1420
2024caoc,9772,1478
2024caoc,8600,1462
2024caoc,9301,1463
2024caoc,3473,1477
2024caoc,4619,1492
2024caoc,867,1441
2024caoc,3295,1420
2024caoc,4964,1451
2024caoc,3952,1505
2024caoc,9520,1420
2024caoc,5124,1460
2024caoc,812,1482
2024caoc,7447,1426
2024caoc,9696,1379
2024caoc,3020,1406
2024caoc,4999,1416
2024caoc,5500,1383
2024casf,114,1657
2024casf,5940,1751
2024casf,8033,1618
2024casf,7426,1631
2024casf,8852,1508
2024casf,649,1562
2024casf,971,1567
2024casf,2854,1516
2024casf,9114,1494
2024casf,841,1580
2024casf,4698,1540
2024casf,8016,1492
2024casf,840,1535
2024casf,2551,1508
2024casf,1700,1475
2024casf,4765,1491
2024casf,9584,1468
2024casf,6962,1544
2024casf,5507,1516
2024casf,1458,1522
2024casf,2489,1513
2024casf,6662,1505
2024casf,1671,1524
2024casf,5700,1471
2024casf,6418,1537
2024casf,8840,1459
2024casf,9006,1407
2024casf,4669,1470
2024casf,7130,1424
2024casf,852,1459
2024casf,9143,1407
2024casf,7245,1442
2024casf,6814,1405
2024casf,6822,1405
2024casf,4973,1448
2024casf,5924,1529
2024casf,8793,1375
2024casf,9111,1386
2024casf,4904,1437
2024casf,4186,1445
2024casf,846,1525
2024casf,2643,1389
2024casf,9038,1412
2024caph,6036,1669
2024caph,4414,1589
2024caph,4481,1618
2024caph,4201,1549
2024caph,2102,1561
2024caph,2485,1580
2024caph,3647,1593
2024caph,973,1572
2024caph,1197,1525
2024caph,5199,1553
2024caph,5137,1457
2024caph,5419,1584
2024caph,7157,1550
2024caph,9635,1440
2024caph,2710,1489
2024caph,9408,1566
2024caph,4415,1526
2024caph,2429,1471
2024caph,9520,1411
2024caph,2839,1435
2024caph,1572,1488
2024caph,2658,1477
2024caph,3128,1575
2024caph,4,1514
2024caph,1148,1498
2024caph,2543,1443
2024caph,7777,1421
2024caph,498,1522
2024caph,9538,1388
2024caph,6658,1399
2024caph,696,1540
2024caph,3255,1498
2024caph,8020,1442
2024caph,3473,1446
2024caph,8119,1451
2024caph,4501,1411
2024caph,8891,1335
2024caph,1165,1351
2024caph,8006,1368
2024caph,5124,1449
2024caph,9452,1487
2024caph,9505,1446
2024caph,3328,1395
2024caph,4322,1430
2024caph,3512,1495
2024caph,980,1412
2024caph,3863,1400
2024caph,3759,1424
2024caph,1159,1333
2024caph,6764,1335
2024cave,4414,1739
2024cave,4481,1733
2024cave,115,1590
2024cave,3749,1543
2024cave,3476,1595
2024cave,4738,1611
2024cave,5817,1580
2024cave,9084,1618
2024cave,687,1613
2024cave,3925,1463
2024cave,1388,1573
2024cave,3970,1513
2024cave,5136,1501
2024cave,8,1514
2024cave,4276,1501
2024cave,8768,1479
2024cave,696,1563
2024cave,8005,1494
2024cave,4014,1483
2024cave,9635,1490
2024cave,6995,1552
2024cave,7323,1475
2024cave,9421,1430
2024cave,589,1545
2024cave,3863,1475
2024cave,6764,1401
2024cave,4019,1468
2024cave,3328,1410
2024cave,5012,1402
2024cave,1138,1520
2024cave,2375,1383
2024cave,3881,1435
2024cave,4817,1418
2024cave,8533,1426
2024cave,6934,1416
2024cave,4711,1371
2024cave,6060,1494
2024cave,7327,1457
2024cave,8521,1380
2024cave,1661,1423
2024cave,5835,1453
2024cave,691,1407
2024cave,5285,1472
2024cave,8060,1400
2024cave,3216,1498
2024cave,399,1453
2024cave,9172,1370
2024cave,6885,1404
