event,team_num,fsm
2026caoec,4619,4.64
2026caoec,5835,4.35
2026caoec,8521,16.61
2026caoec,6072,45.99
2026capin,604,281.68
2026capin,581,264.65
2026capin,2813,232.63
2026capin,1868,194.98
2026capin,3045,221.29
2026capin,5104,127.81
2026capin,6238,111.37
2026capin,649,66.65
2026capin,6506,82.91
2026capin,2035,28.7
2026capin,6059,18.6
2026capin,668,106.73
2026capin,10252,10.78
2026capin,10059,20.79
2026capin,4135,49.61
2026capin,2643,62.02
2026capin,4171,6.08
2026capin,6665,8.21
2026capin,7528,23.6
2026capin,6884,47.06
2026capin,2854,111.55
2026capin,10339,82.86
2026capin,6410,22.4
2026capin,4255,3.48
2026capin,7777,8.01
2026capin,5760,22.16
2026capin,11247,27.87
2026capin,7413,2.55
2026capoh,2637,123.64
2026capoh,8,78.4
2026capoh,3255,146.86
2026capoh,5817,78.6
2026capoh,3128,186.58
2026capoh,2710,78.22
2026capoh,2584,61.16
2026capoh,5136,92.3
2026capoh,2485,37.97
2026capoh,9084,78.12
2026capoh,2429,71.87
2026capoh,9452,70.28
2026capoh,1148,44.02
2026capoh,6515,33.7
2026capoh,3647,37.81
2026capoh,5025,22.49
2026capoh,6657,32.86
2026capoh,399,26.88
2026capoh,7157,50.25
2026capoh,1138,43.99
2026capoh,968,20.63
2026capoh,8060,34.14
2026capoh,9772,24.92
2026capoh,2984,34.13
2026capoh,3328,96.33
2026capoh,4079,10.04
2026capoh,702,51.21
2026capoh,5805,45.59
2026capoh,3020,6.13
2026capoh,3759,0.27
2026capoh,4019,-13.82
2026capoh,10147,10.29
2026capoh,6764,15.85
2026capoh,10166,15.58
2026capoh,4160,53.17
2026capoh,7327,56.27
2026capoh,3473,4.95
2026capoh,1159,38.46
2026capoh,4276,1.66
2026capoh,1972,16.93
2026capoh,4711,42.37
2026capoh,3863,74.68
2026casac,1678,424.96
2026casac,670,127.15
2026casac,3257,163.93
2026casac,5940,234.35
2026casac,846,195.07
2026casac,9400,97.75
2026casac,3598,63.22
2026casac,1072,64.36
2026casac,7137,64.16
2026casac,3189,23.86
2026casac,1138,40.72
